Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	gamma	A.1	A.2	A.3	A.4	Theta.1	Theta.2	Theta.3	Theta.4	psi.height	psi.treeLength	D.treeLikelihood
480000	-6632.7078596848805	-6161.370267606541	-471.33759207833964	0.1805097564360786	0.35211223094214533	0.21359312660576638	0.2537848860160099	0.03844567334500264	0.38165580093387474	0.06908464055424729	0.01873381129992564	0.4382668818684587	0.053813191998490814	0.35475977683042687	12	3	20	27	5800.853043034024	286.3113866150393	420.83417439435186	234.96995124116694	433.0475382615826	5733.472535053917	-6161.370267606541
500000	-6634.486872012376	-6181.35729724801	-453.1295747643659	0.1975222327143822	0.2951560284986671	0.24478277259507747	0.2625389661918734	0.058368211475593	0.3396004915399713	0.061316973342608314	0.030879020827074898	0.46778949797467284	0.04204580484007946	0.3671133027841543	12	3	17	30	6181.31943623257	538.2093681539847	108.82355350300601	213.636611176905	409.2241132883645	5131.675479654233	-6181.35729724801
520000	-6636.088428543152	-6168.204706355992	-467.88372218715983	0.17741099195429544	0.32673257312630566	0.22897479869566978	0.2668816362237292	0.05172474829023548	0.3764484143832822	0.066109698169767	0.026851214052406005	0.4443815996405561	0.03448432546375314	0.3728069130935647	8	12	3	39	11662.946829270582	845.9949025700693	122.7235635579825	237.3578352891021	415.65630402057906	5716.261330282033	-6168.204706355992
540000	-6657.0882810054	-6175.2331407078655	-481.85514029753415	0.20851397784983097	0.281875603620811	0.2482512808195731	0.2613591377097853	0.03992631418045841	0.32663742263803386	0.0572939779149638	0.04326918089548918	0.49983497312758124	0.03303813124347327	0.3580486249536902	14	5	8	35	9990.886344522367	594.4783691482698	216.97425812966526	203.26125628371335	388.48203446514145	6004.092760602297	-6175.2331407078655
560000	-6654.913862898384	-6171.928392572019	-482.98547032636407	0.18170592996721777	0.3059081647407861	0.2297449763493153	0.28264092894268117	0.054019568369807154	0.31765513597848594	0.06734446501839084	0.03360747070244398	0.4777787553050247	0.04959460462584717	0.3216935081351366	11	15	7	29	11109.094274587827	771.6428726530396	667.7225101816373	252.46052322645258	438.19935818230465	5788.545055328164	-6171.928392572019
580000	-6625.622644933546	-6167.561516117867	-458.0611288156799	0.19642086395096078	0.3074537315215662	0.2417456826371342	0.25437972189033914	0.04620760404535912	0.3540655446126468	0.056263909102296845	0.03696282950790145	0.4674523378428578	0.039047774888938	0.3662974595969455	11	3	12	36	8514.622120446096	1669.7083862845373	310.7001536262181	149.36398713100155	426.44898715361643	5165.376356737447	-6167.561516117867
600000	-6641.35191710748	-6162.569344475632	-478.7825726318488	0.19365857477813403	0.32195899429326647	0.2242272558774116	0.26015517505118835	0.04836708330654848	0.36796328467530387	0.05391684981457015	0.024955921386994838	0.4577339769846418	0.04706288383194093	0.4033349776373516	1	12	2	47	8588.462890992994	5422.103298869503	1017.1337215481634	221.02726919820128	517.2812418350001	6335.400793435963	-6162.569344475632
620000	-6632.029536418557	-6162.193727377738	-469.83580904081924	0.19365413763574452	0.3314691305121749	0.21625181107802466	0.2586249207740564	0.04915629522242158	0.35663101509169326	0.06722673261764954	0.025344927813680272	0.45346634615073556	0.04817468310382014	0.3914979607134721	1	11	29	21	6410.527411661418	13453.714435233516	146.28624663826358	213.55205880684466	432.21654813735506	6000.661597975126	-6162.193727377738
640000	-6608.273656396847	-6152.6533775433745	-455.620278853473	0.1773709523145762	0.32822555589979796	0.20820787233035482	0.28619561945527144	0.05621012799923911	0.43294382543347654	0.06165950448558042	0.026379606241893918	0.38198086832080386	0.04082606751900656	0.3514859437795042	10	4	41	7	5597.728115961632	5980.600318946692	158.69929294667318	190.23424699649053	341.37111382641297	4832.699852290989	-6152.6533775433745
660000	-6619.25134570669	-6153.644297270737	-465.60704843595215	0.1947082143656724	0.3287502411335193	0.23396039213177355	0.24258115236903535	0.046942575472692497	0.35922911933893337	0.0591895920191407	0.023704628984343463	0.4633846111128035	0.04754947307208689	0.35720985346300727	10	4	4	44	6104.249165062215	1913.422447593019	217.96527901332138	279.6521737778468	366.86124694380726	5099.738167549749	-6153.644297270737
680000	-6632.034965092805	-6168.338530889528	-463.6964342032771	0.18612905488030246	0.3314335505015312	0.2305358418310415	0.2519015527871256	0.05375320324612062	0.34872249743087724	0.047726582430442165	0.03055877440164451	0.46811477696142334	0.051124165529492435	0.3390317466692449	14	1	18	29	7038.0454661509875	1200.6164230483566	154.07774673717634	325.3563484627566	435.54928480101375	5513.959508240263	-6168.338530889528
700000	-6649.042453614287	-6167.91479204367	-481.12766157061753	0.1995203256315369	0.3422696584620698	0.20960054109584814	0.248609474810546	0.05482266696587432	0.3978219988300996	0.04419463328278278	0.024791419824109213	0.4141710586485818	0.06419822244855254	0.32865695642426446	11	4	41	6	6230.571317201294	10480.827939277087	212.8161510685437	338.3238591747253	398.99507714097655	5600.297763987983	-6167.91479204367
