Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	shape	Theta	trait_pi.0	trait_pi.1	trait_pi.2	trait_pi.3	trait_pi.4	trait_indicators1	trait_indicators2	trait_indicators3	trait_indicators4	trait_indicators5	trait_indicators6	trait_indicators7	trait_indicators8	trait_indicators9	trait_indicators10	trait_rates.0	trait_rates.1	trait_rates.2	trait_rates.3	trait_rates.4	trait_rates.5	trait_rates.6	trait_rates.7	trait_rates.8	trait_rates.9	traitClockRate	psi.height	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	trait_D.treeLikelihood
15000	-5962.065912618781	-5844.152791056922	-117.91312156185873	0.347997795881045	0.1788408235852412	0.23023968575125636	0.2429216947824574	9.994942084117842	0.3350315641808858	7.981898851191469	0.1671453582186273	0.26710346574831034	0.11495564704163272	0.13626601896180174	0.314529510029628	1	1	1	1	1	1	1	0	1	1	0.14934115767590514	0.016995147489856952	0.013221825054593989	0.1864238319502218	0.28611379614547167	0.17253721049133725	0.08565668997741484	0.0257923345227309	0.05242550114003632	0.011492505552431038	0.2347047306612123	10.637844301199612	-5796.090555388526	0.14934115767590514	0.016995147489856952	0.013221825054593989	0.1864238319502218	0.28611379614547167	0.17253721049133725	0.08565668997741484	0.0	0.05242550114003632	0.011492505552431038	-48.06223566839631
16500	-5951.035870160425	-5831.576049933667	-119.45982022675798	0.34975860675626685	0.17675047367773036	0.2323300356587672	0.24116088390723556	10.644163399827733	0.3673572920496308	7.2371941623991605	0.09270837985345508	0.2863007090944861	0.1983477961053278	0.23522695377644423	0.1874161611702868	1	1	1	1	1	1	1	1	1	1	0.12582572553539573	0.18499856966850933	0.00870787307177763	0.07472556200227988	0.12766917847373224	0.23546413057115217	0.0010567016945390757	0.17812012096187724	0.031729535229338496	0.03170260279139814	0.17657735685711445	10.6866243663026	-5783.4136385847405	0.12582572553539573	0.18499856966850933	0.00870787307177763	0.07472556200227988	0.12766917847373224	0.23546413057115217	0.0010567016945390757	0.17812012096187724	0.031729535229338496	0.03170260279139814	-48.16241134892602
18000	-5949.170269176282	-5833.2853484295065	-115.8849207467759	0.34975860675626685	0.1751141815530192	0.2323300356587672	0.24279717603194673	9.652962034084036	0.33736892658608736	5.922292500964258	0.23312234919182784	0.12626284876481808	0.28322444443085404	0.20607301830808106	0.15131733930441899	1	1	1	1	1	1	1	1	1	1	0.1435420167289065	0.031392916475834996	0.011835681173794646	0.06051222005770315	0.17925110578336442	0.24344270456485959	0.04650033637187148	0.16998681168195182	0.08183360437031512	0.03170260279139814	0.1774304353033819	10.446022292998297	-5785.70464155971	0.1435420167289065	0.031392916475834996	0.011835681173794646	0.06051222005770315	0.17925110578336442	0.24344270456485959	0.04650033637187148	0.16998681168195182	0.08183360437031512	0.03170260279139814	-47.580706869797154
19500	-5944.693395093886	-5828.015594092463	-116.67780100142213	0.33456875191182744	0.18723777433075037	0.2323300356587672	0.24586343809865496	8.751257157877935	0.3556115967420428	7.142715444068537	0.08993212952006552	0.14445586853626155	0.21787898378296228	0.19852414519864406	0.3492088729620666	1	1	1	1	1	1	1	0	0	1	0.12809346740868122	0.16375858791916292	0.004240728418980523	0.10818243343150502	0.23165858275714818	0.16530213119743392	0.08289399554186729	0.03319367861126059	0.05758828585978007	0.025088108854180086	0.175722333672712	10.33833550534904	-5776.784364910468	0.12809346740868122	0.16375858791916292	0.004240728418980523	0.10818243343150502	0.23165858275714818	0.16530213119743392	0.08289399554186729	0.0	0.0	0.025088108854180086	-51.23122918199513
21000	-5950.48382292412	-5829.172836601649	-121.31098632247154	0.34361848661068334	0.18723777433075037	0.21968038101123616	0.2494633580473301	9.170807414652273	0.3683582423695675	8.49518063264027	0.13630277604076954	0.1381380413271403	0.20264019147157725	0.2060327475497387	0.3168862436107742	1	1	1	1	1	1	1	1	1	1	0.1968233568824701	0.11880373235107114	0.023899042970230683	0.009716016340841627	0.36393210553409194	0.07540280771645205	0.017958294548223425	0.10278855683270006	0.0720712771360667	0.01860480968785207	0.2081000930519688	11.161316044788546	-5783.291328592789	0.1968233568824701	0.11880373235107114	0.023899042970230683	0.009716016340841627	0.36393210553409194	0.07540280771645205	0.017958294548223425	0.10278855683270006	0.0720712771360667	0.01860480968785207	-45.881508008859406
22500	-5956.62006756129	-5839.543322631232	-117.07674493005837	0.33499304974675354	0.19741721280477315	0.21549960462237072	0.25209013282610254	7.194546505500907	0.3111975895819178	6.427188606635785	0.10970678363207455	0.2463629180692903	0.17770436514754195	0.16652557376829502	0.29970035938279815	1	1	1	1	1	1	1	1	1	1	0.20196740684944545	0.02711481888016562	0.07528025887232691	0.03788048020195898	0.3225862846517881	0.12798557640926117	0.145773556996512	0.012937866243782806	0.04787764437282907	5.961065219296548E-4	0.39888428172548435	11.35333960403721	-5791.15397284302	0.20196740684944545	0.02711481888016562	0.07528025887232691	0.03788048020195898	0.3225862846517881	0.12798557640926117	0.145773556996512	0.012937866243782806	0.04787764437282907	5.961065219296548E-4	-48.389349788212016
24000	-5947.1860858018845	-5831.669165352935	-115.51692044894965	0.33499304974675354	0.19741721280477315	0.21549960462237072	0.25209013282610254	7.3379967470407665	0.43515314899400026	6.988646725973429	0.24047343200330362	0.21151569568472625	0.23527850349166288	0.1226025596505787	0.19012980916972863	1	1	1	1	1	1	1	1	1	1	0.1207378760839733	0.10843210433724265	0.09807463778096649	0.02204012315633436	0.14935749276735552	0.09751629934706606	0.02525776377199748	0.05822442409109996	0.2996093832433674	0.02074989542059658	0.3944402035698795	10.743830872483647	-5783.526680722838	0.1207378760839733	0.10843210433724265	0.09807463778096649	0.02204012315633436	0.14935749276735552	0.09751629934706606	0.02525776377199748	0.05822442409109996	0.2996093832433674	0.02074989542059658	-48.142484630096824
25500	-5945.18893297122	-5830.400124786431	-114.78880818478976	0.3457845402420854	0.19786200511186902	0.21549960462237072	0.24085385002367482	10.267679498573022	0.48612892158629073	5.211565716593798	0.19771205182471757	0.21052374681630576	0.1498483991121562	0.3356560722411344	0.10625973000568614	1	1	1	1	1	1	1	0	1	1	0.11507544111997665	0.010044317255608698	0.009073811317951288	0.007445458913080027	0.16207131757029203	0.013419322187077753	0.3586510717977068	0.14226998532493848	0.1373058805257496	0.04464339398761848	0.19255854590867227	10.739792516948043	-5781.331038420252	0.11507544111997665	0.010044317255608698	0.009073811317951288	0.007445458913080027	0.16207131757029203	0.013419322187077753	0.3586510717977068	0.0	0.1373058805257496	0.04464339398761848	-49.069086366178084
27000	-5939.605949083314	-5819.214738455252	-120.3912106280626	0.3457845402420854	0.19786200511186902	0.2103676160165929	0.24598583862945264	10.62216858024365	0.4103780856173572	6.269128520362966	0.14841070396105394	0.2297500707298156	0.25895024665536787	0.23831788161022405	0.12457109704353873	1	1	1	1	1	1	1	1	1	1	0.17346282407109145	0.03763012906666466	0.05516856493292456	0.016787954836126814	0.17368852617845656	0.04625008469522733	0.3223134587582313	0.0737685317852835	0.08989744379657055	0.011032481879423031	0.2825399680764201	10.534860581469923	-5773.026872029172	0.17346282407109145	0.03763012906666466	0.05516856493292456	0.016787954836126814	0.17368852617845656	0.04625008469522733	0.3223134587582313	0.0737685317852835	0.08989744379657055	0.011032481879423031	-46.187866426079786
28500	-5947.377514739057	-5829.793067409362	-117.5844473296948	0.3457845402420854	0.19786200511186902	0.2103676160165929	0.24598583862945264	10.300959298600793	0.40585265941208515	6.6100275995411355	0.20965231102782855	0.21753449337775219	0.0985941242673466	0.336677997817976	0.13754107350909675	1	0	1	0	1	1	0	1	1	1	0.1629975975003713	0.029467583247150812	0.05516856493292456	0.004519508344147039	0.3221688884862399	0.07327318995292685	0.16100047468062567	0.08603697827726328	0.09433473269892731	0.011032481879423031	0.201005095829339	10.866948125373442	-5785.587333460945	0.1629975975003713	0.0	0.05516856493292456	0.0	0.3221688884862399	0.07327318995292685	0.0	0.08603697827726328	0.09433473269892731	0.011032481879423031	-44.20573394841725
30000	-5939.667902515683	-5818.790611487079	-120.87729102860365	0.3457845402420854	0.19786200511186902	0.2103676160165929	0.24598583862945264	7.705636573378477	0.3998095764886029	6.185825595496337	0.10412026752938497	0.23549243738798023	0.25619809461394044	0.32855743171173785	0.07563176875695658	1	1	1	1	1	1	1	1	1	1	0.3326665648246313	0.035201078715233314	0.0016357233067937895	0.09184907569918979	0.16287614081566845	0.07327318995292685	0.02444439444848983	0.023695913941348186	0.24957828346333266	0.004779634832385606	0.476694830736265	10.413849799687055	-5774.823090047786	0.3326665648246313	0.035201078715233314	0.0016357233067937895	0.09184907569918979	0.16287614081566845	0.07327318995292685	0.02444439444848983	0.023695913941348186	0.24957828346333266	0.004779634832385606	-43.96752143929338
31500	-5946.217815429036	-5824.232301569777	-121.985513859259	0.3535227626852796	0.19786200511186902	0.2103676160165929	0.23824761618625842	9.788953605108807	0.45664718459295417	6.41561681249334	0.19478491937340356	0.16639461573862963	0.2368999853581833	0.35577379506234863	0.046146684467434904	1	1	1	1	1	1	1	1	1	1	0.19707941897206754	0.035201078715233314	0.04727449354749715	0.03651368331592657	0.17505379260705753	0.08479215058509795	0.06652393557660437	0.06526904749051424	0.09664922088950034	0.19564317830050082	0.6238344992959686	10.854342954312273	-5775.478411143944	0.19707941897206754	0.035201078715233314	0.04727449354749715	0.03651368331592657	0.17505379260705753	0.08479215058509795	0.06652393557660437	0.06526904749051424	0.09664922088950034	0.19564317830050082	-48.75389042583261
33000	-5962.520129394114	-5835.565359710866	-126.95476968324792	0.35420131947833755	0.19786200511186902	0.2103676160165929	0.23756905939320044	7.53982957891506	0.43055806462795465	10.052241601770518	0.2577883869112729	0.28792897188505784	0.09644614841558713	0.1864563888386894	0.17138010394939268	1	1	1	1	1	1	1	1	1	1	0.062432837072927676	0.035201078715233314	0.15435029474845688	0.0904630555745552	0.2552577808787069	0.1052804990297041	0.20540406558194796	0.034845537334866145	0.0280949482140746	0.02866990284952703	0.2025159505247652	10.783939234369099	-5785.860958847684	0.062432837072927676	0.035201078715233314	0.15435029474845688	0.0904630555745552	0.2552577808787069	0.1052804990297041	0.20540406558194796	0.034845537334866145	0.0280949482140746	0.02866990284952703	-49.70440086318199
34500	-5945.997993418942	-5827.864085641881	-118.13390777706161	0.34642279366012374	0.20564053093008283	0.2103676160165929	0.23756905939320044	8.106293811984385	0.3016579021932535	7.127527871637729	0.23049131164974118	0.15915426005449207	0.09644614841558713	0.38741595922630523	0.12649232065387433	1	1	1	1	1	1	1	1	1	1	0.09231302140174467	0.09069368995339866	0.015448391621129494	0.0995959659507282	0.5537728351128368	0.048185585977375114	0.06653712726225917	0.006955164611514228	0.026316786170600796	1.8143193841263852E-4	0.48066542850195904	10.662539239269506	-5779.711050270283	0.09231302140174467	0.09069368995339866	0.015448391621129494	0.0995959659507282	0.5537728351128368	0.048185585977375114	0.06653712726225917	0.006955164611514228	0.026316786170600796	1.8143193841263852E-4	-48.15303537159802
36000	-5949.356784230933	-5830.006639492279	-119.35014473865455	0.3342374611074285	0.20564053093008283	0.22255294856928814	0.23756905939320044	8.991467906733103	0.31591333965243173	7.925372798270968	0.20846742122832188	0.12186055970886303	0.16501104956426885	0.2706381899848359	0.23402277951371026	1	0	1	0	1	1	1	1	1	1	0.09231302140174467	0.07929102487056866	1.9779112586944259E-4	0.23533699346210823	0.4021200541540226	0.12003872461503347	7.49947480996431E-4	0.006955164611514228	0.026316786170600796	0.03668049210754125	0.20566967861335264	10.57710467374441	-5783.376327242883	0.09231302140174467	0.0	1.9779112586944259E-4	0.0	0.4021200541540226	0.12003872461503347	7.49947480996431E-4	0.006955164611514228	0.026316786170600796	0.03668049210754125	-46.63031224939543
37500	-5961.839085195393	-5836.972673108124	-124.8664120872691	0.33981071886250774	0.19278185760033162	0.21866904593546396	0.24873837760169656	7.988383593392312	0.31885058564094443	9.624429723135806	0.10343200159336217	0.12186055970886303	0.21217710249834273	0.44229703378374574	0.12023330241568622	0	1	0	1	1	0	1	0	1	1	0.09168078342928344	0.1751314483650388	0.04650645280121362	0.15455062797189997	0.040245856471831085	0.07373006293968928	0.08714849481320006	0.006955164611514228	0.14034098262531453	0.18371012597101471	0.6041974483180617	10.983595380982228	-5785.772435474271	0.0	0.1751314483650388	0.0	0.15455062797189997	0.040245856471831085	0.0	0.08714849481320006	0.0	0.14034098262531453	0.18371012597101471	-51.20023763385259
39000	-5950.736348786838	-5825.163480746487	-125.57286804035068	0.3475235400162244	0.19278185760033162	0.21072759938899516	0.24896700299444877	9.307579176727353	0.32197691134433365	6.17565501818849	0.14156660620049769	0.10433480468809703	0.24360067529319313	0.44229703378374574	0.06820088003446634	1	1	0	1	1	0	1	1	1	0	0.20071682476339717	0.11115069874934926	0.07081522271387038	0.07884818931847562	0.07986254067514535	0.06204950004375137	0.037526368975988045	0.028261593411465544	0.08709125443783024	0.24367780691072677	0.3446701844510755	11.44378350620245	-5780.653521153829	0.20071682476339717	0.11115069874934926	0.0	0.07884818931847562	0.07986254067514535	0.0	0.037526368975988045	0.028261593411465544	0.08709125443783024	0.0	-44.50995959265779
40500	-5961.844522013213	-5838.892271022983	-122.9522509902298	0.33432538036142745	0.19278185760033162	0.21072759938899516	0.26216516264924566	8.608248612824331	0.33977793156690383	8.007995054050106	0.1956545684709024	0.3546486387311303	0.1895127130227884	0.19198319974071246	0.06820088003446634	1	0	1	1	1	1	1	1	1	1	0.10741044610963973	0.06347369453345847	0.16484476480193228	0.1238106662739214	0.23807351130335758	0.042567464227415974	0.05700840479232344	0.028261593411465544	0.05475478636311925	0.11979466818336604	0.4512129896449414	10.760079860235123	-5789.834163568418	0.10741044610963973	0.0	0.16484476480193228	0.1238106662739214	0.23807351130335758	0.042567464227415974	0.05700840479232344	0.028261593411465544	0.05475478636311925	0.11979466818336604	-49.058107454564045
42000	-5948.944828200454	-5827.933843627521	-121.01098457293267	0.33432538036142745	0.19278185760033162	0.21072759938899516	0.26216516264924566	8.638659121641128	0.3634161606939086	7.532325742610917	0.09887901525069069	0.168227060881967	0.2472022400554226	0.3704126051524179	0.11527907865950165	1	1	0	1	1	1	1	1	1	1	0.20810300958352357	0.06347369453345847	0.0771739489321088	0.09479199785057243	0.10925216672249122	0.18272643283017237	0.11535266316176941	0.007214297679314898	0.1329495316256014	0.008962257080987128	0.5964901970532756	10.545661743958322	-5781.882144025346	0.20810300958352357	0.06347369453345847	0.0	0.09479199785057243	0.10925216672249122	0.18272643283017237	0.11535266316176941	0.007214297679314898	0.1329495316256014	0.008962257080987128	-46.05169960217492
