	Bayesian Skyline: hcv_coal.log			
Time	Mean	Median	Upper	Lower
1887.8787657917273	294.161996149152	257.69946984828954	635.6369610797205	127.06858517589583
1884.5937272227188	303.96901150165155	266.53953922192534	653.0933649434872	132.31387363481375
1881.3086886537103	311.07579479012827	273.30636506854614	673.1022917738765	138.0763854309502
1878.0236500847018	319.7104189830012	280.2064778778945	687.4732904996607	143.61159089681195
1874.7386115156933	323.4683521072703	283.4646567686268	708.9410736526074	147.32910250039038
1871.4535729466847	325.92532685537867	285.9640466902663	725.6591722852452	148.10718627469103
1868.1685343776762	327.5277612490748	286.95535567975185	741.8534015945461	148.9380129709116
1864.8834958086677	329.5767819620619	288.2200412605573	758.7524613501254	149.75419657479512
1861.5984572396592	330.4731536358097	289.63266199151093	759.6299033221098	149.75419657479512
1858.3134186706507	331.35976736346083	289.66586004159643	760.2332272392663	149.75419657479512
1855.0283801016421	332.5658840928713	289.93293568993033	762.5224977799114	149.75419657479512
1851.7433415326336	332.7089819996933	290.2279172284465	762.5224977799114	149.75419657479512
1848.458302963625	333.2327751469498	290.2634658056426	763.7861355947862	149.93944361181246
1845.1732643946166	333.23701048405286	290.2634658056426	763.7861355947862	149.93944361181246
1841.888225825608	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1838.6031872565995	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1835.318148687591	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1832.0331101185825	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1828.748071549574	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1825.4630329805655	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1822.177994411557	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1818.8929558425484	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1815.60791727354	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1812.3228787045314	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1809.0378401355229	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1805.7528015665143	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1802.4677629975058	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1799.1827244284973	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1795.8976858594888	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1792.6126472904803	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1789.3276087214717	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1786.0425701524632	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1782.7575315834547	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1779.4724930144462	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1776.1874544454377	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1772.9024158764291	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1769.6173773074206	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1766.332338738412	333.3265023233203	290.29340008089434	763.7861355947862	150.19545753138988
1763.0473001694036	333.3156516982127	290.29340008089434	763.7861355947862	149.93944361181246
1759.762261600395	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1756.4772230313865	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1753.192184462378	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1749.9071458933695	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1746.622107324361	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
1743.3370687553524	333.2657424355558	290.29340008089434	763.7861355947862	149.75419657479512
