Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	gamma	m.Hong_Kong_New_York	m.Hong_Kong_New_Zealand	m.New_York_Hong_Kong	m.New_York_New_Zealand	m.New_Zealand_Hong_Kong	m.New_Zealand_New_York	Theta.Hong_Kong	Theta.New_York	Theta.New_Zealand	psi.height	psi.treeLength	Mascot	D.treeLikelihood
150000	-1943.8718933648454	-1910.4997687263972	-33.372124638448284	0.3556210112684789	0.21328761346289887	0.22429049042642227	0.2068008848421999	4.362283494031726	0.0036358132044843543	0.5794728905104601	1.3175642753209185	0.6662954316380162	1.69721612090524	0.03525995175688932	0.0036882574355910436	0.316731179782951	0.5352993545108867	0.967600731538077	1.2214095869367314	2.886565406782328	14.87462803391718	-31.176199277927374	-1910.4997687263972
165000	-1946.703771118803	-1903.156472853952	-43.547298264850966	0.3302124547875491	0.22007269640266414	0.23843502904125746	0.21127981976852922	4.613409566905207	0.003103913450823708	0.4033893581400978	1.309435746657157	0.024624789567262613	0.9557953244062657	1.2592081535154211	0.3754757754370583	0.39995357025502176	1.464210528276227	0.7931855553363112	0.5569153555399835	3.8820488891519496	20.979369683973825	-40.39964416866202	-1903.156472853952
180000	-1959.3346683916238	-1909.9017373802335	-49.432931011390345	0.3266601521976731	0.2314455956002044	0.20614311044794414	0.23575114175417813	3.573202810417779	0.003920514389649909	0.8153341042469477	0.42017064001131427	0.16435931304306606	0.5375109584495011	2.376196394953181	0.7847091314327478	0.3475722882587673	0.9749061721978421	2.743031139749962	1.495153931095244	3.4883656981257456	21.642583202948302	-44.669960071168965	-1909.9017373802335
195000	-1963.3295211412435	-1910.6548568994408	-52.674664241802674	0.31362022929535366	0.26240449443699587	0.21252419647030193	0.21145107979734815	7.368168243965836	0.0029635798633974573	0.08482957703870875	1.451427537538469	0.511461006480598	1.7496908123316917	0.06171893813115262	0.9524361743640612	0.05071182221496685	5.531703004965911	0.7490068599175846	0.3949118878944808	4.23041384685529	23.64301297763524	-46.37124288894307	-1910.6548568994408
210000	-1957.8852919154729	-1913.5037705765462	-44.381521338926575	0.3169506504745046	0.22700229950945733	0.20710830425239288	0.24893874576364503	7.670021013372955	0.0054307128485297385	0.11296863326404204	0.40153647106131957	0.0020405543927096556	0.10884812439345978	0.21819741011789692	0.032874935961225274	0.4080799872186687	0.9922655501031303	1.7450081183349102	0.5070863034258764	3.7664418543673324	20.1189422399968	-45.20517219934161	-1913.5037705765462
225000	-1957.36996011546	-1903.379956831113	-53.9900032843467	0.3182210355248187	0.2558421441329639	0.19765597023196685	0.2282808501102506	8.437244890510854	0.003190870377994855	0.6184226495045497	2.7821819471374645	0.02442644363079058	0.32363206190737637	0.010955993398345729	3.420214490779474	0.017667486004921636	5.753945992908794	1.8540477592830993	0.1692024787260062	3.913441923058138	24.311023806974646	-43.435230709682074	-1903.379956831113
240000	-1948.2775931815281	-1912.8344230452515	-35.44317013627658	0.34416634079603214	0.23398754135315478	0.1872394412517122	0.2346066765991008	6.099360279476794	0.004953444922070081	0.026264537251345275	0.16160146605190243	0.1155208484228191	0.9174447216463992	0.8369832600743251	0.6688579854897343	1.371634021437487	0.7007460468963963	0.6700522538729142	0.5646757812798437	3.58125666023579	18.48222931829175	-35.50263407273443	-1912.8344230452515
255000	-1969.3135273453222	-1919.1724250582847	-50.14110228703754	0.3532893545879547	0.19473271585510926	0.2368217998585932	0.2151561296983428	4.017060656110473	0.003764251823591321	0.862482093203748	3.075659658236144	0.6800586305142153	4.081405406320507	0.19474815627778572	0.16613280157448107	0.5963698800206654	1.8232702161218153	0.2950965449666832	2.445614758578738	3.1259195071422408	18.69597315659438	-41.21720356591855	-1919.1724250582847
270000	-1957.224760904961	-1918.4195165090462	-38.80524439591473	0.3511433611591063	0.22187860633468212	0.2144139279133934	0.2125641045928179	3.618756917201609	0.005202870492382182	0.37406795455478864	1.153935653591663	0.1934113737046209	1.3654109482374535	0.31482107451941305	0.03984404535179007	1.734175220927841	0.2751416508802962	7.549906149285378	0.5991576465422034	3.2537956697560704	18.068059430645235	-33.41486819917628	-1918.4195165090462
285000	-1955.6078527312052	-1904.9692405239186	-50.638612207286485	0.35477166808846283	0.22337828917959918	0.20321623896829996	0.21863380376363772	6.093880899654223	0.004289014997697678	0.20369755130262127	0.3666889621209489	0.32556570258823536	1.2198096904011149	0.6773647832749149	0.44071751314829793	1.8741526689138817	2.639413315983735	4.252466836133708	0.38953974624323384	4.158358313736541	23.01488113737942	-44.65006845098653	-1904.9692405239186
