Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	shape	groupSizes1	groupSizes2	groupSizes3	groupSizes4	Theta.0	Theta.1	Theta.2	Theta.3	psi.height	D.treeLikelihood
1140000	-6601.778644277934	-6148.879036647843	-452.8996076300912	0.18575298309543758	0.3333831391925164	0.22407271298461073	0.2567911647274353	0.042435674642551116	0.38681678821620885	0.057334742940118304	0.036618002823405785	0.4423919747163886	0.03440281666132651	0.3281593883029781	12	7	38	5	11604.772876950039	168.0695962553723	133.1977924231121	559.4455629985599	466.9380002932362	-6148.879036647843
1160000	-6641.055814805652	-6165.341489928262	-475.71432487738997	0.18009165643457867	0.3486069881570842	0.20523528535807845	0.2660660700502585	0.057033313617453577	0.40220834682761086	0.07036230695716623	0.0288261271776835	0.4051968075475431	0.03637309787254192	0.33847167304797476	10	9	41	2	7755.723009087027	2216.3331006208396	232.14530225949397	125.60614704262332	428.59685691635184	-6165.341489928262
1180000	-6634.507093976254	-6161.503488356142	-473.0036056201113	0.17638509063187635	0.31116171013794236	0.24834670635778575	0.26410649287239535	0.059377412966281067	0.37466222648028114	0.057237574830991435	0.029548920921210736	0.43469896429299965	0.04447490050823529	0.38731484703522595	1	14	40	7	4294.6386705291025	4973.015322638471	148.15563258316857	396.4085762124644	409.6492817044614	-6161.503488356142
1200000	-6632.362924782254	-6151.526428456104	-480.8364963261497	0.18873130183247092	0.3333624827221075	0.24287524265387225	0.2350309727915489	0.06136626519021384	0.34422093590833025	0.06513975570024742	0.027781782259985722	0.46071314874188923	0.04077811219933291	0.3513607555205604	14	6	37	5	6146.030976652273	729.3215547863468	217.497698398956	457.76236046826915	424.30542266779855	-6151.526428456104
1220000	-6628.681353841702	-6158.701347405625	-469.9800064360774	0.18849847493960625	0.3254927489563226	0.215898635983055	0.27011014012101575	0.04105974069194913	0.3661029763328639	0.06752140628582542	0.028011691904183973	0.4522193224073915	0.04508486237778541	0.3878028126494678	10	7	37	8	10353.208844354982	3359.5396881426122	109.29380330075787	390.56004367804286	442.4708652705413	-6158.701347405625
1240000	-6639.687663636827	-6157.282836066234	-482.4048275705925	0.1826727938042571	0.3238295865330748	0.22004262176442238	0.2734549978982453	0.05726754645838707	0.35973945882860775	0.0631385599688288	0.027278547844098187	0.44942749783577973	0.04314838906429777	0.4104843287135862	16	5	34	7	5056.871827818826	2206.363660141224	190.63077665635961	506.9587219532096	482.57868395392387	-6157.282836066234
1260000	-6618.451966882235	-6158.371987252051	-460.07997963018363	0.17388481980797646	0.3386534037248851	0.22296887655629793	0.2644928999108401	0.055284892571389355	0.4014138411040586	0.06496826698908093	0.0274359477960461	0.41868330205727944	0.03221374948214476	0.36795350964635776	8	12	35	7	5937.265287812673	1111.868540058543	92.16944329938086	416.3484921386645	434.0281347090172	-6158.371987252051
1280000	-6639.410640897457	-6172.25381085479	-467.1568300426673	0.2019950672584406	0.30450165490887626	0.2373214051263858	0.25618187270629716	0.05017668303037419	0.3747241457877446	0.041781238413701925	0.032801216330756895	0.46503306108616554	0.035483655351256055	0.30948343827254104	13	6	26	17	4674.196767523259	2299.972825788396	141.83394410145988	132.39100503168993	363.65312862637626	-6172.25381085479
1300000	-6616.639802878585	-6160.145226696182	-456.49457618240285	0.18675643336069786	0.31734820584039536	0.24813565701687157	0.247759703782035	0.0476137712800397	0.35598476998103834	0.07223218314958862	0.029054626932167205	0.4463153416669507	0.04879930699021459	0.3316805845223374	12	2	44	4	4733.184024274058	428.67200798095143	193.4704087623634	579.1419360347895	374.1089329119701	-6160.145226696182
1320000	-6615.775259192371	-6162.317836941404	-453.4574222509677	0.20006671942440113	0.3170270178332514	0.231981916142528	0.2509243465998192	0.04845311427289494	0.35104712501035495	0.05426859767199618	0.035996717955151546	0.46922948485332916	0.041004960236272404	0.37870884171809255	11	3	44	4	8301.691869383669	773.6417164610637	133.99343571012295	659.2880627490949	455.5639485483958	-6162.317836941404
1340000	-6603.390105051695	-6162.689317815079	-440.7007872366154	0.17827747043912237	0.3292868352431077	0.22973658901042987	0.2626991053073398	0.06507297853455277	0.3768486568247504	0.0643653877318895	0.024127354099224448	0.4309848618290632	0.038600760980518754	0.3638985882969746	11	6	40	5	9620.664008151585	160.35517596340694	168.95477218606158	291.58839858269664	308.39825580450537	-6162.689317815079
1360000	-6607.1184255400885	-6163.50659161211	-443.61183392797864	0.19546676545612932	0.32754064489133794	0.2328395531505354	0.24415303650199702	0.04912553505295694	0.329803142122606	0.07348131744325462	0.03322017884077124	0.4746802965816476	0.03968952995876257	0.3496295845551748	11	1	45	5	5757.774210586013	1364.5001565425537	133.46565697640187	244.8976700948926	367.3553850392046	-6163.50659161211
1380000	-6627.552624902938	-6174.708592067098	-452.84403283583976	0.20656010731517702	0.32706766719624186	0.2100485776806165	0.256323647807964	0.05450768752997509	0.3413360267178729	0.05220895109489271	0.037972920510604094	0.46170410300281234	0.05227031114384176	0.3684704783557137	10	7	39	6	7736.456239488324	545.742437731271	158.0831437068983	321.31485674771005	363.8403959727855	-6174.708592067098
1400000	-6632.177503594598	-6172.503328901362	-459.6741746932363	0.19079812692935846	0.3171005716044098	0.21847292549156164	0.2736283759746696	0.06099278183773546	0.3787536085655491	0.04963323170865899	0.030572870592388775	0.4388199464908923	0.04122756080477419	0.38646034244208954	8	12	35	7	11989.587064239035	466.9466697015391	187.11150988199353	498.82463585494963	441.29871053299144	-6172.503328901362
1420000	-6627.929819345381	-6160.200285592544	-467.72953375283697	0.18761899143171717	0.35034310105465916	0.2136190596502474	0.2484188478633757	0.042831856685009634	0.3778155641204785	0.05593494139359872	0.023863293365711396	0.454160406175651	0.04539393825954978	0.3221102553520401	10	23	25	4	7814.547111968088	550.3266903087077	137.6409546079977	345.6549210249338	383.0455400066979	-6160.200285592544
