Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
290000	-6098.108515179298	-5489.107518053521	-609.0009971257767	0.5075222120578583	0.26120686609704946	0.08111785874496795	0.1501530631001245	0.32296164803975586	0.40393526885236847	0.08616369571191286	0.18693938739596289	0.30229727773499976	0.4043887455561728	0.08223550681546446	0.21107846989336254	8.675192415517001	8.662939964543133	9.291030615368484	0.6731083676168592	0.9421016017406806	1.3832334038215885	0.0020651140621634157	46.56596172132713	61.81053656900698	589.795147320671	-1437.1524126897973	-1796.2991860688167	-2255.6559192949067
300000	-6095.8473039858045	-5477.839952708764	-618.0073512770407	0.5195159485841748	0.21508863623675017	0.11758861394647477	0.1478068012326005	0.32742875567520624	0.36155398949366835	0.10213170607901999	0.20888554875210555	0.3551401716479372	0.34682798069866855	0.0684595760575555	0.22957227159583832	5.536353519176058	7.922065862044529	11.725920379301572	0.5885638121730046	1.0175646701025445	1.3919122977824179	0.002089283111187697	42.07570690114242	57.78072149255097	608.5303794953736	-1444.4872339550636	-1788.2447165402202	-2245.1080022134806
310000	-6092.329525620849	-5483.854097685411	-608.4754279354388	0.48819131801207827	0.2192450977509079	0.08855765229435514	0.20400593194265898	0.2968347065901359	0.43005547181098075	0.11199783522481134	0.16111198637407217	0.33081518647076014	0.33699155443643075	0.08699568344322664	0.245197575649582	8.788434668282727	9.339757774069259	10.951389607017632	0.6858673463700223	0.8523597466668954	1.460277037183892	0.0021829878356610204	34.72658504820464	53.2179612323	568.7018359579965	-1434.6599313595464	-1789.6603063119082	-2259.533860013957
320000	-6077.413548703163	-5470.005139467348	-607.4084092358145	0.46639161425102516	0.260131940141222	0.08184623057389726	0.19163021503385586	0.31700833011910445	0.410709550537792	0.08845190259932681	0.18383021674377686	0.3224908106074188	0.3668723562945742	0.08137311115154233	0.22926372194646424	5.983604835304623	10.099914056400097	8.971152003842121	0.6761429512834514	0.9274444147204969	1.3948704575735922	0.002249277985259512	38.6409038432238	53.78695766489813	568.3032457427945	-1445.9448970743495	-1774.5270134971745	-2249.533228895825
330000	-6089.305183413665	-5487.218447470275	-602.0867359433897	0.4654113105676345	0.2570301769318961	0.08977572385850326	0.18778278864196624	0.29705940845655454	0.400173647386431	0.10695903691246363	0.19580790724455094	0.3434138396362608	0.34207962766666156	0.07865717520741686	0.2358493574896604	8.658693424106183	9.193582822417916	10.429945564718148	0.6551000912129443	0.9535727826319151	1.3896847456371069	0.0022364455259913374	37.3182604977397	54.5229672935771	556.5528409414256	-1433.0743717031578	-1786.5836134301026	-2267.5604623370155
340000	-6064.098353268733	-5464.386361869339	-599.7119913993936	0.48401498299459794	0.24528891541872247	0.10787882788453329	0.1628172737021465	0.2771171875537799	0.4483906433663379	0.10439390062885603	0.17009826845102632	0.34873897250335995	0.35906856300028034	0.08069276045584436	0.21149970404051505	6.5227128654322515	11.564826909132735	11.87855010786165	0.6806237760521355	0.9901531251256964	1.3277022596605115	0.0022392135010572594	41.10296133709384	55.053614407409796	555.9710721785549	-1424.6916829468523	-1784.2002414229792	-2255.4944374995075
350000	-6052.638743487877	-5467.424971658529	-585.2137718293476	0.4600488239156503	0.25205504753800934	0.1006917466199469	0.18720438192639377	0.31544457114077773	0.42441811701473897	0.08511124288386634	0.1750260689606171	0.32363812259465785	0.3655103349913231	0.08391222729186934	0.22693931512214932	9.679333416904978	9.126387464794968	10.555978591208595	0.6405687547400903	0.9285651902609094	1.4291544776406195	0.002396178910023239	35.40293903879489	55.85708536459989	520.3445735135565	-1432.566135780886	-1782.8610316303348	-2251.997804247309
360000	-6078.919373468437	-5480.792239775712	-598.127133692725	0.540522747073407	0.20898720568596243	0.09862516253341545	0.1518648847072155	0.2898001294123698	0.4254029379329338	0.10204679760333968	0.18275013505135682	0.33880208661845373	0.3965598625932522	0.061463812938208975	0.2031742378500848	10.04384902068324	11.431337569793099	12.90800559934721	0.6509567826667502	0.9660123017910213	1.3813688049834993	0.0023844906974912284	37.92741390905895	55.962088409669704	553.7806833683088	-1441.0964113218563	-1793.7829470485274	-2245.912881405328
370000	-6075.912461645375	-5483.6050547076775	-592.3074069376971	0.48764204847335624	0.22185301898534895	0.10243703134736845	0.1880679011939268	0.30723447798823456	0.4092297894809272	0.07317087808374556	0.21036485444709282	0.30542022101512173	0.4109774809536701	0.09940154946365244	0.18420074856755547	9.44487403783286	9.385957752119442	9.245438137295789	0.6587902569243188	1.082286058469435	1.257298876305886	0.0023182193290335737	31.525991447695414	55.74259299207921	553.2066131583625	-1438.6359009334474	-1789.7592387403297	-2255.2099150339
380000	-6086.2885454021925	-5477.115742449108	-609.1728029530843	0.4820309519720307	0.24333909591853112	0.1061498701500129	0.16848008195942582	0.30185824205096173	0.4247925952141488	0.11751087249985229	0.15583829023503723	0.32105947918291594	0.3885647116972262	0.09144994872746581	0.1989258603923918	6.398226603848729	9.499830910795039	13.592079345635106	0.610243635487264	1.004984369139478	1.3829160126851026	0.002129800303784298	32.12564732220446	55.20448373377129	575.2769133616728	-1438.0446730210701	-1783.9122655686847	-2255.158803859354
390000	-6061.759102628262	-5466.205023101973	-595.5540795262884	0.48921601173276924	0.22733581211917603	0.11496809418862945	0.16848008195942582	0.3058840516837967	0.4163671819967229	0.09850134649447534	0.17924741982500522	0.33214556239210075	0.3809554905730465	0.07547271274436476	0.21142623429048776	4.86016870690458	9.868249320452648	10.514595565903994	0.6194956499606205	0.9482672071646334	1.4304252173983685	0.0022672706486036314	35.53517973849394	56.09290325851802	550.6007839757174	-1442.6696423921587	-1773.2781526394583	-2250.2572280703566
400000	-6069.075855619642	-5483.085104022582	-585.990751597061	0.4641235747321822	0.22629280922237077	0.11895898369596485	0.19062463234948265	0.2995814265962359	0.4189456290114851	0.08177728480467528	0.19969565958760382	0.34412892666481865	0.35832382047026484	0.07829134550059799	0.21925590736431827	5.67929864912073	7.517655847201791	10.789150552976059	0.6793667354101521	1.022121943357423	1.2969844961629504	0.002484605087147572	36.182079085602346	54.33309151510418	524.0435875767455	-1441.5688423850158	-1787.7709910309807	-2253.745270606585
410000	-6077.49704811416	-5484.764751187957	-592.7322969262032	0.48030129988697323	0.21836629808077235	0.11644902182360344	0.18488338020865142	0.29503149544890767	0.4611203085442517	0.09448545584691324	0.14936274015992745	0.31814183700823856	0.34121575277886496	0.0827334556436449	0.25790895456925134	5.51937266265615	12.580944008766654	9.597733609300029	0.7158700119903754	0.8163424734505295	1.466434514616193	0.002547474022776616	36.1317565721121	54.63408716298557	531.2814838501026	-1441.8988983252416	-1786.9522783429645	-2255.9135745197505
420000	-6076.040505014507	-5481.933266578206	-594.1072384363013	0.44997856189435226	0.2432137863053867	0.11047568468302982	0.19633196711723166	0.335739605419077	0.3594159915551593	0.12823445312600126	0.1766099498997626	0.34968095666263427	0.35843346769225526	0.07890359932875307	0.21298197631635715	7.578595895069864	11.01968887406611	10.851543280172221	0.7571849501009089	0.8717113929235475	1.3699473948331682	0.0024402919104141367	29.417236764608667	52.28191927816723	520.2321096607074	-1435.8600196516422	-1788.5800277597084	-2257.4932191668545
430000	-6074.99838355377	-5485.05249388983	-589.9458896639397	0.47222612345819914	0.2550505614477507	0.09425779616908382	0.17846551892496687	0.2993424306339899	0.4645581034494479	0.09625116042314015	0.13984830549342214	0.2907579934260186	0.419111759619202	0.07161547832164397	0.21851476863313526	6.476535989592638	11.54670193270938	9.523176158058424	0.6968518775488638	0.9360510031383182	1.3656535568249564	0.0022396069105814565	30.43017963303106	53.530623527433846	528.8001300091894	-1435.0379383631398	-1791.7591799541851	-2258.255375572505
440000	-6068.651520636193	-5484.810897497687	-583.8406231385065	0.4773179451774308	0.23807116726712896	0.08510832277210013	0.1995025647833408	0.2718299572527128	0.4092615092427202	0.10753893775221521	0.2113695957523519	0.3191266144751665	0.4046906272386974	0.07475816156365789	0.201424596722478	5.650158949831696	6.056193760877736	11.565848474770343	0.7471782457035576	0.9906059778291849	1.2610118633515612	0.0023391646490157005	32.53806655917548	55.61576331637101	528.8229559894925	-1446.5240906123868	-1788.2681052619766	-2250.018701623323
450000	-6074.403740259013	-5476.909004779916	-597.4947354790969	0.4374382113109872	0.2862475850531579	0.09603355584703041	0.18028064778882527	0.29487031160270055	0.40515487185990556	0.10075521309882604	0.1992196034385679	0.3315020335898891	0.37106308747029754	0.0698807484281024	0.22755413051171064	9.031295776772582	8.938694190230358	10.738985501327068	0.650775389493713	0.9037972913338072	1.4437643448367368	0.002400744459566366	36.56888129070153	52.081346320526634	535.2481387654193	-1437.0174997633274	-1785.8589622056545	-2254.032542810935
460000	-6071.94321181011	-5463.987200966434	-607.9560108436764	0.45338832089977854	0.24173611265215325	0.1165044540486514	0.18837111239941765	0.29385233263236166	0.43489898865742876	0.07999852995817765	0.1912501487520319	0.2920128502071319	0.4131898401766559	0.07455588195140408	0.22024142766480784	8.243786255810374	10.26264373262954	12.072157697518634	0.6973194162877459	0.8682901981626272	1.4329490494367128	0.0023175510878889996	38.13526848796816	56.845095514026376	578.99007320972	-1436.8924261397485	-1772.0946994597443	-2255.0000753669406
470000	-6068.2720962424655	-5474.901134645845	-593.3709615966209	0.4910484015320403	0.22916907478956972	0.11106959261802853	0.1687129310603623	0.2758406201642938	0.4269814402351067	0.10374383227516945	0.19343410732542998	0.3103454824279039	0.38077340702529316	0.07285040462936171	0.23603070591744096	5.813756536222431	8.133634895159194	9.902429142396567	0.6117024754800743	0.9900923176404417	1.3963561710484385	0.0023693158898126345	33.41906941549653	59.37978817469527	558.5447836936723	-1437.1106332595407	-1782.7956404106012	-2254.994860975703
