Sample	posterior	likelihood	prior	pi.0.A	pi.0.C	pi.0.G	pi.0.T	pi.1.A	pi.1.C	pi.1.G	pi.1.T	pi.2.A	pi.2.C	pi.2.G	pi.2.T	kappa.0	kappa.1	kappa.2	mu.0	mu.1	mu.2	clockRate	Theta	psi.height	codon.0.treeLikelihood	codon.1.treeLikelihood	codon.2.treeLikelihood
150000	-6079.67300215153	-5484.082241110236	-595.5907610412944	0.48953338804577556	0.24794297436793217	0.09405655887263814	0.1684670787136537	0.3277349983953248	0.4070211353904145	0.08329415600779823	0.18194971020646264	0.35068016031541693	0.36673573008744736	0.07344998703667308	0.20913412256046268	9.952491393193958	2.664138229566441	3.060362669642467	0.6886054863945708	0.9909805394503749	1.3189311431378865	0.0021134249889087774	34.135644780172136	60.647867307851456	-1441.105475151097	-1785.1578186969568	-2257.818947262182
157500	-6085.130459048309	-5485.970742190267	-599.1597168580416	0.4461441304588362	0.30424992924151295	0.09272945266562543	0.156876487634025	0.33518123581143006	0.38199619501821375	0.09407172982633116	0.1887508393440252	0.3168661783238267	0.36908244779412785	0.058025324254943826	0.2560260496271017	10.30823471774973	4.542537314714063	3.119568034702458	0.6876510266576412	0.8690917076259438	1.4417698896528806	0.0022334607355862664	34.360870448665636	57.22814490059564	-1448.6105085976485	-1785.4036242182822	-2251.9566093743365
165000	-6068.402587868437	-5477.35204757873	-591.0505402897071	0.4756518742547982	0.23961891648609948	0.09135256599495611	0.1933766432641457	0.3434052996631405	0.4235504647508164	0.06819327385202474	0.16485096173401853	0.36855302266290946	0.33505020401237035	0.09100659772865274	0.20539017559606754	10.2090143847023	1.6292824810161772	2.049801889660973	0.7085460983521874	0.969226253233199	1.3208397726924819	0.0022232845567738465	34.09003030502886	57.16289006463608	-1439.7717818354884	-1791.3290917873842	-2246.2511739558577
172500	-6080.645440348725	-5479.741829559812	-600.9036107889129	0.4566034768168419	0.2828722553500271	0.10215231196773954	0.158371955865391	0.31621822579517284	0.4379506435935724	0.06876735806133234	0.17706377254992253	0.28859269964269035	0.39011618534208103	0.08191152327967781	0.2393795917355509	10.2090143847023	7.890039485669459	1.594265772683551	0.6122189236288395	1.000561161051021	1.385373338765992	0.00225898973116863	36.693334995684864	58.56737781716362	-1433.136540038138	-1789.2595358493818	-2257.345753672292
180000	-6062.539388025385	-5472.524330269264	-590.0150577561205	0.4855577891519799	0.22831498020227914	0.10258165751883006	0.18354557312691044	0.26442942571061145	0.4778586031612779	0.09405237204118513	0.16365959908692565	0.325037249861331	0.3788666665678255	0.08117708641066199	0.2149189971601816	9.60077268900181	3.8928701397491428	3.548866394070808	0.6893572780344408	0.9737853796952787	1.3353780912133026	0.002158622182347637	39.51699475470858	57.078850351873214	-1432.2037197893894	-1792.9270770853643	-2247.39353339451
187500	-6075.496141764047	-5478.247102459351	-597.2490393046967	0.4649559530460272	0.2512156510588024	0.11235822460190135	0.1714701712932686	0.24823778900339205	0.4609515266990449	0.10648512159530187	0.18432556270226133	0.3103772350971976	0.3820588345265718	0.07783431975215555	0.22972961062407515	9.516517888269371	7.392713531485359	3.706112639204659	0.7411722395857736	0.8873203172575328	1.370274930011865	0.0023925128416997106	35.86544359374925	55.5978127048541	-1436.818695334939	-1787.2554780939945	-2254.1729290304174
195000	-6061.916483093754	-5474.633778052208	-587.2827050415465	0.44554753686965753	0.27904913113639934	0.10204562650269924	0.17335770549124346	0.29813485312523336	0.43220062134087084	0.09585493002299067	0.1738095955109053	0.3230862436123805	0.36101216218550214	0.10605455857440439	0.20984703562771312	10.09560613126723	4.332982904394171	4.4043910055334505	0.6552992935502248	1.0364202873672097	1.3066389871470916	0.0024464468631002437	38.368475445419406	55.22478084867833	-1430.4476928448573	-1785.835989942198	-2258.350095265152
202500	-6066.8477938684555	-5477.342744796224	-589.5050490722319	0.4428566611407252	0.2928807245052031	0.0952684263305329	0.16899418802353836	0.31968429754838545	0.4401859560683208	0.08639513696536433	0.1537346094179296	0.33405280919401914	0.34717753320018924	0.08818215609922825	0.2305875015065635	9.325718602715334	2.6002398709845136	3.2582160167260215	0.675557602000907	0.9616952641722619	1.3612021700268366	0.002270123285708603	30.583212235306185	60.01972108968523	-1436.1050796982217	-1783.1031676042548	-2258.134497493748
210000	-6075.528450750526	-5487.8527754862935	-587.6756752642322	0.5152048686186241	0.23545059935932536	0.0839960343084021	0.16534849771364793	0.2843514563719562	0.45587757282031116	0.10336184699191175	0.15640912381582114	0.342803004646419	0.3526628670831703	0.09022168281835359	0.21431244545205722	8.938823634942377	2.5582653625773886	4.0350572613751865	0.566258385868841	1.0648914081960026	1.3667847696773903	0.0022851816792406015	40.32115921249897	55.859020504900734	-1439.2287921932225	-1781.6792048050802	-2266.944778487991
217500	-6058.281106147459	-5475.888341643515	-582.3927645039442	0.47738826556255065	0.2838498697522353	0.10624753253352745	0.13251433215168612	0.33508361617109567	0.3830359513107277	0.10782048067637037	0.1740599518418065	0.3215245392212658	0.3854629731655457	0.08350620887160896	0.20950627874157973	11.842885467055488	5.099782418607383	4.232026904405629	0.6499126538824759	0.9873338771517348	1.361086386365231	0.002276787195113363	32.602456990157705	57.347600970519025	-1447.9290102602904	-1783.7369514730744	-2244.2223799101494
