Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	gamma	Theta	pi_trait.0	pi_trait.1	pi_trait.2	pi_trait.3	pi_trait.4	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	R_trait.0	R_trait.1	R_trait.2	R_trait.3	R_trait.4	R_trait.5	R_trait.6	R_trait.7	R_trait.8	R_trait.9	mu_trait	psi.height	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	D_trait.treeLikelihood
20865000	-5947.613170697673	-5837.241627648105	-110.37154304956772	0.33251283139035226	0.19139171203301808	0.2230489288061147	0.2530465277705164	8.015902101261034	0.4299131820213491	6.581172990758041	0.20777203382729587	0.29406155383676347	0.1494506098592156	0.2009849746941445	0.1477308277825778	1	0	1	1	1	1	0	1	1	0	0.2802596617671092	0.0033421405400701487	0.028086619540728025	0.11346096192999756	0.15228212665255422	0.025828708276857414	0.18133049844915508	0.05856231044754416	0.15505137092436827	0.001795601471611591	0.35302788683152514	10.49784617088043	-5793.193642209462	0.2802596617671092	0.0	0.028086619540728025	0.11346096192999756	0.15228212665255422	0.025828708276857414	0.0	0.05856231044754416	0.15505137092436827	0.0	-44.047985438642904
20880000	-5945.023419998707	-5825.685624041223	-119.33779595748466	0.3382348130565619	0.1903480611478988	0.21806028051174145	0.25335684528379915	8.18437454414469	0.2951979254662122	7.007389185310001	0.13823824126201012	0.29416879306320426	0.09278467293488572	0.16693468885344953	0.3078736038864475	1	1	1	0	1	1	1	1	1	1	0.16310695098128705	0.11101245033478656	0.057264480413340146	0.006569620231724055	0.17345587642994295	0.22881162832166285	0.17112093359407826	0.06142557059055829	0.01866573516340718	0.008566753939208346	0.28712576915164034	10.602129562664137	-5777.572966949396	0.16310695098128705	0.11101245033478656	0.057264480413340146	0.0	0.17345587642994295	0.22881162832166285	0.17112093359407826	0.06142557059055829	0.01866573516340718	0.008566753939208346	-48.11265709182675
20895000	-5943.087862431116	-5830.611800092975	-112.47606233814142	0.3367013526196911	0.20054081603420998	0.21674354461748482	0.24601428672861547	9.295887008451242	0.3304604612585603	7.1795917224242976	0.15347104779580845	0.2651666133076154	0.2565994977691255	0.21438975870447505	0.11037308242297296	0	1	0	1	1	0	0	1	1	0	0.015081088363574434	0.3213281739707513	0.03207713355918185	0.015161630076615001	0.18591475960684872	0.134593936838674	0.11020032911528943	0.07691669349624126	0.0723625371782421	0.03636371779457748	0.46372849989869025	10.973988070446513	-5782.85622304499	0.0	0.3213281739707513	0.0	0.015161630076615001	0.18591475960684872	0.0	0.0	0.07691669349624126	0.0723625371782421	0.0	-47.75557704798526
20910000	-5951.1876507576835	-5838.767809821283	-112.419840936401	0.35052544588936463	0.1913602252831626	0.2003256305186566	0.2577886983088177	8.670523990622812	0.3964924222080259	6.570496002850535	0.20474181289706922	0.23210220792850111	0.19223137372623406	0.29807621278244967	0.07284839266574332	1	1	1	1	0	0	0	0	1	0	0.26127645446216496	0.053501372066099256	0.03127083612039072	0.04720652525287489	0.21688530139601558	0.04429264546472078	0.028610414901553607	0.05906666961501143	0.14156766021488779	0.11632212050627656	1.1018828777468457	10.703993470277348	-5792.874800272671	0.26127645446216496	0.053501372066099256	0.03127083612039072	0.04720652525287489	0.0	0.0	0.0	0.0	0.14156766021488779	0.0	-45.893009548612206
20925000	-5948.671505406762	-5831.034847086743	-117.6366583200186	0.34335293398342054	0.19754923306202538	0.21833967024240106	0.24075816271215475	8.468873307461234	0.3347967920838201	6.468295201755817	0.07020259339678461	0.2587114539530276	0.14484471966927834	0.3260128106842358	0.2002284222966712	1	1	1	1	1	1	1	1	1	1	0.07240086497664704	0.2303280639383134	0.11753328710681377	0.022760044742114363	0.09376073306201219	0.0019355466662418531	0.1509135210052375	0.1078274952133693	0.17859507573115052	0.023945367558095704	0.24222503849349816	11.107609831938898	-5783.987610631668	0.07240086497664704	0.2303280639383134	0.11753328710681377	0.022760044742114363	0.09376073306201219	0.0019355466662418531	0.1509135210052375	0.1078274952133693	0.17859507573115052	0.023945367558095704	-47.04723645507524
20940000	-5943.259706076079	-5828.662587635644	-114.59711844043485	0.33951915392172444	0.18805833696896213	0.2274843638822065	0.24493814522710883	8.733720161935086	0.2612770284782496	7.8961611408615395	0.09956691825694083	0.20282230993058709	0.3071714824828091	0.28372729506259253	0.10671199426706794	1	1	1	1	1	0	0	1	1	0	0.20966097729634003	0.020690147843767465	0.031201570699687105	0.019152606569115396	0.1456467907038485	0.3605611495864212	0.009720783244307397	0.11939426411536752	0.08351448800283258	4.572219383084733E-4	0.680250072364296	10.430217259193244	-5781.155206014527	0.20966097729634003	0.020690147843767465	0.031201570699687105	0.019152606569115396	0.1456467907038485	0.0	0.0	0.11939426411536752	0.08351448800283258	0.0	-47.50738162111681
20955000	-5947.610243108464	-5826.57032989436	-121.03991321410341	0.35255317922371915	0.20470943298084776	0.2012826026822915	0.24145478511314356	8.57507032530878	0.41903611133231267	7.78982015164968	0.16732543701725366	0.11959998579376732	0.22190236533586544	0.4003037954674441	0.09086841638566706	0	1	0	0	1	0	1	0	1	1	0.03806159251429499	0.04110521970416891	0.0030822032499312063	0.06594929343782313	0.16374060436895524	0.0831117936401112	0.0641432502031111	0.3862502118501081	0.10245005084717322	0.052105780184318544	0.534586745559542	11.054750723301694	-5779.40892763372	0.0	0.04110521970416891	0.0	0.0	0.16374060436895524	0.0	0.0641432502031111	0.0	0.10245005084717322	0.052105780184318544	-47.16140226064029
20970000	-5946.977353974038	-5830.015008966022	-116.96234500801648	0.3436380602092486	0.19052114778043103	0.21140306677609716	0.2544377252342253	9.137883081713387	0.3661156588613521	6.443891844417748	0.15176227891152097	0.17618936453965836	0.2045245645388873	0.36874517112574223	0.09877862088418868	0	1	1	0	1	1	1	0	1	1	0.36450630469863665	0.016289813826815602	0.005841761448385822	0.019557649546314004	0.13820159670923937	0.04325479392781174	0.018844616753827828	0.18166536348398005	0.12938376606443794	0.08245433354054667	0.70612620431498	11.082671894316789	-5779.686042789606	0.0	0.016289813826815602	0.005841761448385822	0.0	0.13820159670923937	0.04325479392781174	0.018844616753827828	0.0	0.12938376606443794	0.08245433354054667	-50.32896617641529
20985000	-5940.538009487823	-5822.451271122982	-118.08673836484085	0.34180291638932475	0.18848051727406595	0.23367270954388972	0.23604385679272166	8.56434387874573	0.3724615216057173	7.525489711326937	0.2220299627880818	0.19708859358465322	0.33085613764857424	0.11487188806801214	0.13515341791067598	1	1	1	1	1	1	1	1	1	1	0.16801124925019367	1.1897672445434875E-4	0.011201265401561113	0.10111765775439711	0.13929866854516276	0.016837267073753895	0.4111614417706867	0.09070908113590413	0.05315157564745307	0.008392816696429033	0.6627550042332393	10.91582090531037	-5775.269574465071	0.16801124925019367	1.1897672445434875E-4	0.011201265401561113	0.10111765775439711	0.13929866854516276	0.016837267073753895	0.4111614417706867	0.09070908113590413	0.05315157564745307	0.008392816696429033	-47.18169665791092
21000000	-5953.598998790455	-5836.0319975226685	-117.56700126778632	0.3401333097445875	0.1863495273895235	0.23116418764953622	0.2423529752163552	8.621217540418552	0.3427497289323561	6.338764472892774	0.17581852271160858	0.2352032713390369	0.26569883809987455	0.18711638521398288	0.13616298263549453	1	1	1	1	1	1	1	1	0	1	0.14757369820677854	0.20864644779593342	0.007461805458994092	0.06321104939712839	0.2736337065321307	0.001232113293267556	0.09885678740433165	0.050742141141922	0.12469055959490945	0.023951691174600054	0.8308434010859862	11.511392036219904	-5790.149698516446	0.14757369820677854	0.20864644779593342	0.007461805458994092	0.06321104939712839	0.2736337065321307	0.001232113293267556	0.09885678740433165	0.050742141141922	0.0	0.023951691174600054	-45.88229900622303
