Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	gamma	Theta	pi_trait.1	pi_trait.2	pi_trait.3	pi_trait.4	pi_trait.5	I.1	I.2	I.3	I.4	I.5	I.6	I.7	I.8	I.9	I.10	R_trait.1	R_trait.2	R_trait.3	R_trait.4	R_trait.5	R_trait.6	R_trait.7	R_trait.8	R_trait.9	R_trait.10	mu_trait	psi.height	psi.treeLength	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	D_trait.treeLikelihood
30000	-5955.6265169814415	-5830.294912608629	-125.33160437281289	0.33592515442391807	0.19912523641912405	0.2178511394783	0.24709846967865776	8.633750751320731	0.5543663210921819	6.1517343541094744	0.10027560126140597	0.2702320121012327	0.2918232381263701	0.24730024690749536	0.09036890160349573	1	0	0	1	1	1	0	1	1	1	0.06067790912602071	0.17268882363118088	0.0015227524088660405	0.32510609425818343	0.13196927807757036	0.04822008842456031	0.039702731055033	0.052114105138282435	0.08244480951362064	0.08555340836668247	0.620249058957547	11.014030329047769	80.20807387104955	-5782.163309936972	0.06067790912602071	0.0	0.0	0.32510609425818343	0.13196927807757036	0.04822008842456031	0.0	0.052114105138282435	0.08244480951362064	0.08555340836668247	-48.13160267165697
31500	-5949.792312428167	-5827.14518667117	-122.64712575699632	0.35485368008837465	0.1873166001658036	0.22709367639824327	0.23073604334757836	8.52969265454298	0.27402373606861213	7.287965523321792	0.1546881396434141	0.2171562821910552	0.2598229281856499	0.29017378355281503	0.07815886642706563	1	0	0	1	1	1	1	1	1	1	0.1329106929646821	0.11995409710840138	0.2263310713681158	0.06752416808552036	0.10394803401295877	0.017102221233449108	0.20046134435800528	0.052114105138282435	0.060010710245412185	0.019643555485172895	0.35331489312509556	10.66323671688744	77.68810307382184	-5781.934535981761	0.1329106929646821	0.0	0.0	0.06752416808552036	0.10394803401295877	0.017102221233449108	0.20046134435800528	0.052114105138282435	0.060010710245412185	0.019643555485172895	-45.21065068940949
33000	-5954.15570943718	-5829.395959028675	-124.75975040850518	0.33907633628605005	0.19478058100980739	0.21671647649124084	0.24942660621290158	11.051090187567192	0.3085993682559289	5.859047670616792	0.11981104600670653	0.25108589033818224	0.10108854178282613	0.3606997513350617	0.1673147705372232	1	1	1	1	1	1	1	1	1	0	0.3656135638169967	0.10435265143733552	0.03384863907022234	0.009378318795787023	0.07234920616327908	0.017102221233449108	0.1823421878222578	0.0702332616740299	0.09966452428713805	0.04511542569950474	0.30432902955554936	10.797601582132817	79.3570913617313	-5784.509928197758	0.3656135638169967	0.10435265143733552	0.03384863907022234	0.009378318795787023	0.07234920616327908	0.017102221233449108	0.1823421878222578	0.0702332616740299	0.09966452428713805	0.0	-44.88603083091709
34500	-5957.5336401309105	-5831.076556570352	-126.45708356055779	0.356272696011141	0.19914841759646137	0.21671647649124084	0.2278624099011567	8.91228264631388	0.4092004502895545	5.865722844215352	0.1257879893196578	0.34507577050140736	0.05985793198194758	0.269286783745346	0.19999152445164112	1	1	1	0	1	1	1	1	1	1	0.39334505139221887	0.05550936648584379	0.05185984655091001	0.08571178566792062	0.08665683402921454	0.0027945933675136495	0.15895261999680685	0.0702332616740299	0.027114429758733925	0.06782221107680815	0.26064064784203733	10.918999313436009	80.58405643589037	-5783.567272643792	0.39334505139221887	0.05550936648584379	0.05185984655091001	0.0	0.08665683402921454	0.0027945933675136495	0.15895261999680685	0.0702332616740299	0.027114429758733925	0.06782221107680815	-47.50928392655946
36000	-5973.17612231956	-5848.003277226852	-125.17284509270773	0.3447316874032736	0.19597663242615007	0.2219435969867044	0.23734808318387182	7.290056769718938	0.49730333985515657	7.736832917657894	0.2074698627689229	0.312647035906872	0.05985793198194758	0.12590147340230484	0.29412369593995247	1	1	1	1	1	1	1	1	1	1	0.20812221532352548	0.06186243567095752	0.11277328084890856	0.021031063398470204	0.18417517942334813	0.0027945933675136495	0.05768638032844223	0.19237378679498202	0.060535665183859284	0.09864539965999328	0.27128577005321997	10.917278208786831	81.5689957415325	-5798.65318563198	0.20812221532352548	0.06186243567095752	0.11277328084890856	0.021031063398470204	0.18417517942334813	0.0027945933675136495	0.05768638032844223	0.19237378679498202	0.060535665183859284	0.09864539965999328	-49.35009159487256
37500	-5947.677003952306	-5825.456966178881	-122.22003777342553	0.3447316874032736	0.19597663242615007	0.21566731730972374	0.24362436286085248	8.718037428392075	0.355872559756657	6.719023840012513	0.2074698627689229	0.32807112272601646	0.15904422372343296	0.12590147340230484	0.17951331737932258	1	1	1	1	1	1	1	1	1	1	0.19918108326525902	0.022898884679225354	0.005501836756992104	0.07737672610990001	0.18074294312912073	0.0018752087332639254	0.2050937464304203	0.1827862625829805	0.07290903353635314	0.05163427477648525	0.3904644864592356	10.66161364075988	78.22228692262027	-5779.577447846639	0.19918108326525902	0.022898884679225354	0.005501836756992104	0.07737672610990001	0.18074294312912073	0.0018752087332639254	0.2050937464304203	0.1827862625829805	0.07290903353635314	0.05163427477648525	-45.87951833224193
39000	-5952.9631897970985	-5829.79080881717	-123.17238097992906	0.33357495546260285	0.2071333643668208	0.21566731730972374	0.24362436286085248	8.390184787869256	0.543496469391312	6.726421123956867	0.24487709252409495	0.2750734644933215	0.15904422372343296	0.1690706776135151	0.15193454164563522	1	1	0	1	1	1	1	1	1	1	0.0665922589447063	0.11267342056617607	0.0722230792073485	0.05607504342062946	0.23792575362738225	0.029795038530033603	0.03300783296096741	0.2505603527592999	0.10778585543297378	0.03336136455048307	0.318933775055856	10.646637026214272	78.40480330480516	-5781.7403273647515	0.0665922589447063	0.11267342056617607	0.0	0.05607504342062946	0.23792575362738225	0.029795038530033603	0.03300783296096741	0.2505603527592999	0.10778585543297378	0.03336136455048307	-48.0504814524186
40500	-5962.704568902764	-5833.276588413705	-129.42798048905854	0.3455891212779477	0.20437451554747718	0.209395429251117	0.24064093392345798	8.91206898099501	0.5353949363700672	8.881444810499648	0.14008449578554327	0.3593928725797595	0.15904422372343296	0.2713363916184493	0.07014201629281472	1	1	0	0	0	0	1	1	0	1	0.06814295190641037	0.07204704161691583	0.12728608773303063	0.04595321311226573	0.13399697237593672	0.142644733051999	0.028896366767456046	0.20142602160776626	0.12150030536534616	0.05810630646287358	0.5191874807371102	11.130475250195758	84.42647495182969	-5779.553002336704	0.06814295190641037	0.07204704161691583	0.0	0.0	0.0	0.0	0.028896366767456046	0.20142602160776626	0.0	0.05810630646287358	-53.723586077001684
42000	-5950.241783398271	-5825.3000895738805	-124.94169382439013	0.35150940521557206	0.20437451554747718	0.20167285205470434	0.2424432271822463	8.408640099254221	0.35087054359618625	9.554551455056576	0.21218526255523742	0.28729210581006537	0.13023158925675943	0.2713363916184493	0.09895465075948826	1	0	1	1	1	1	0	0	1	1	0.1910109234982127	0.2404339418468061	0.11875492104676741	0.011401682875273128	0.060535553766938546	0.027818294580264274	0.142549217130424	0.07798763615542048	0.12150030536534616	0.008007523734547536	0.6044552457776958	11.347935892977961	80.24403993096917	-5777.2078915755255	0.1910109234982127	0.0	0.11875492104676741	0.011401682875273128	0.060535553766938546	0.027818294580264274	0.0	0.0	0.12150030536534616	0.008007523734547536	-48.092197998354706
43500	-5958.710405535416	-5833.367992754704	-125.34241278071218	0.35446105706281933	0.20142286370022994	0.20167285205470434	0.2424432271822463	8.778097910942286	0.40103255373942476	7.039112506577703	0.16095078106384964	0.4630778557105432	0.051376575914885904	0.22564013655123283	0.09895465075948826	1	1	1	1	1	1	1	1	1	1	0.1451848180001952	0.10887512258330388	0.19546838645139147	0.011401682875273128	0.11538090762581671	0.027818294580264274	0.142549217130424	0.0790837293414117	0.14252796013595798	0.03170988127596199	0.28331288137140487	10.88697691433156	78.33670578367536	-5786.712751891997	0.1451848180001952	0.10887512258330388	0.19546838645139147	0.011401682875273128	0.11538090762581671	0.027818294580264274	0.142549217130424	0.0790837293414117	0.14252796013595798	0.03170988127596199	-46.655240862706705
